FFT	AudioTools 	v10.20.1 Greg’s iPhone battery  66%	2/6/19, 2:31 PM	Internal Mic 3 Low Range	297E0D2C-2342-481F-B5E1-E5B9DE515A74
Frequency	dB	Unweighted
19.5	83
19.8	83.4
20.1	83.4
20.3	83.8
20.6	84.1
20.9	84.1
21.2	84.5
21.6	84.8
21.9	85.2
22.2	85.2
22.5	85.6
22.8	86.1
23.2	86.1
23.5	86.7
23.8	87.1
24.2	87.1
24.5	87.7
24.9	88.3
25.3	88.3
25.6	85.7
26	80.9
26.4	79.9
26.8	79.9
27.2	80.1
27.5	80.6
28	80.6
28.4	81.2
28.8	81.6
29.2	81.6
29.6	82.2
30	82.7
30.5	82.7
30.9	83.3
31.4	84
31.8	84.6
32.3	84.6
32.8	85.2
33.2	85.8
33.7	85.8
34.2	84.9
34.7	82.7
35.2	82.7
35.7	82.4
36.2	82.7
36.8	82.7
37.3	83.1
37.9	83.8
38.4	84.3
39	84.3
39.5	84.9
40.1	85.2
40.7	85.2
41.3	85.4
41.9	85.3
42.5	85.3
43.1	84.2
43.7	82.3
44.4	82.3
45	81.3
45.7	80.4
46.3	79.6
47	79.6
47.7	78.9
48.4	78.4
49.1	78.4
49.8	78.1
50.5	78.1
51.3	78.1
52	78.4
52.8	78.6
53.5	78.6
54.3	78
55.1	76.6
55.9	76
56.7	76
57.5	75.5
58.4	74.8
59.2	74.8
60.1	73.9
61	73.1
61.8	73.1
62.7	72.5
63.7	72.5
64.6	72.5
65.5	72.9
66.5	73.6
67.4	74.6
68.4	74.6
69.4	75.5
70.4	75.3
71.5	75.3
72.5	74.6
73.5	74
74.6	74
75.7	73.8
76.8	74.2
77.9	74.2
79.1	75
80.2	75.5
81.4	75.8
82.6	75.8
83.8	76.1
85	76.4
86.2	76.4
87.5	77
88.7	77.9
90	77.9
91.3	78.5
92.7	77.9
94	77.9
95.4	76.7
96.8	76.3
98.2	76.4
99.6	76.4
101	76.6
103	76.5
104	76.5
106	76.2
107	75.5
109	75.5
110	74.6
112	74.6
113	74.6
115	75.6
117	77.2
118	78.7
120	78.7
122	78.9
124	79
125	79
127	80
129	82.3
131	82.3
133	84.6
135	84.5
137	84.5
139	82.8
141	80.6
143	77.2
145	77.2
147	74.3
149	72.3
151	72.3
154	70.9
156	71.1
158	71.1
160	73.3
163	76.2
165	77.9
168	77.9
170	76.2
172	73.8
175	73.8
177	74.2
180	75.2
183	75.2
185	75.1
188	74.6
191	74.6
194	74.4
196	73.2
199	71.7
202	71.7
205	71.9
208	73.1
211	73.1
214	73.9
217	74.5
220	74.5
224	74.6
227	74
230	74
234	74
237	74.6
240	74.5
244	74.5
247	74
251	73.4
255	73.4
258	73.4
262	73.7
266	73.7
270	73.3
274	72.8
278	72.8
282	72.6
286	70.3
290	66.6
294	66.6
298	65.5
303	66.3
307	66.3
312	68.9
316	73
321	73
325	75.7
330	77.6
335	77.6
340	79.5
345	82.6
350	86.4
355	86.4
360	87.5
365	86.6
371	86.6
376	82.7
382	76.8
387	76.8
393	72.5
398	69.6
404	69.6
410	68.1
416	67
422	66.1
428	66.1
434	66.6
441	68.6
447	68.6
454	69.1
460	69.2
467	69.2
474	70.1
481	70
488	70
495	68.5
502	66.7
509	65.3
517	65.3
524	64.8
532	65.8
540	65.8
547	66.5
555	66.2
563	66.2
572	65.5
580	64.1
588	64.1
597	62.7
606	61.3
614	60.5
623	60.5
632	60.5
642	61.2
651	61.2
660	62.7
670	64.7
680	64.7
690	64.9
700	63
710	63
720	62.7
731	62.7
741	62.1
752	62.1
763	61.8
774	61.8
785	61.8
797	62.5
808	62.8
820	62.8
832	61.5
844	59.7
856	59.7
869	59.4
882	59.2
894	58.8
907	58.8
921	58.6
934	58.4
948	58.4
961	58.8
975	59
990	59
1004	58.2
1019	56.6
1033	56.6
1048	56
1064	55.9
1079	55.6
1095	55.6
1111	56.1
1127	56.9
1143	56.9
1160	58.1
1177	58.6
1194	58.6
1211	57.4
1229	56.1
1247	56.1
1265	55.9
1283	55.5
1302	55.2
1321	55.2
1340	55
1360	54.2
1379	54.2
1399	53.5
1420	53.4
1440	53.4
1461	53.7
1483	53.4
1504	53.4
1526	53.1
1548	53.1
1571	52.9
1594	52.9
1617	52.7
1640	52
1664	52
1688	50.8
1713	50.2
1738	50.2
1763	49.6
1789	49.6
1815	49.6
1841	49.7
1868	48.9
1895	48
1923	48
1951	47.5
1979	47
2008	47
2037	46.9
2067	46.9
2097	46.9
2127	46.6
2158	46.4
2190	46.4
2221	45.8
2254	45.1
2287	44.7
2320	44.7
2354	44.2
2388	43.8
2423	43.8
2458	43.5
2494	43.2
2530	43.2
2567	42.9
2604	42.6
2642	42.6
2680	42.2
2719	42.4
2759	42.7
2799	42.7
2840	42.6
2881	42.6
2923	42.6
2965	42.7
3008	42.6
3052	42.6
3097	42.3
3142	42.3
3187	42.3
3234	42.2
3281	42.7
3328	43
3377	43
3426	42.3
3476	41.7
3526	41.7
3578	41.7
3630	41.4
3682	41.4
3736	40.8
3790	40
3846	40
3901	39.3
3958	39.1
4016	38.9
4074	38.9
4133	38.6
4194	38.3
4255	38.3
4316	37.8
4379	37.6
4443	37.6
4508	37.6
4573	37.5
4640	37.5
4707	37.4
4776	37.2
4845	36.6
4916	36.6
4987	36.1
5060	35.7
5133	35.7
5208	35.5
5284	35.3
5360	35.3
5438	34.9
5518	34.7
5598	34.7
5679	34.4
5762	34.3
5846	34.6
5931	34.6
6017	35
6104	34.5
6193	34.5
6283	34.3
6375	34.2
6467	34.2
6561	34.1
6657	34.7
6754	34.7
6852	34.3
6952	35.2
7053	36.1
7155	36.1
7259	35.1
7365	33.9
7472	33.9
7581	32.7
7691	31.1
7803	31.1
7916	29.8
8032	29.4
8148	29.4
8267	29.3
8387	29
8509	28.9
8633	28.9
8758	28.8
8886	28.4
9015	28.4
9146	28.3
9279	28.4
9414	28.4
9551	28.5
9690	28.2
9831	28.2
9974	27.7
10119	27.3
10266	26.8
10416	26.8
10567	26.3
10721	25.8
10877	25.8
11035	25.5
11196	25.4
11358	25.4
11524	25.5
11691	25.6
11861	25.6
12034	25.4
12209	24.9
12386	24.3
12567	24.3
12749	23.7
12935	23.3
13123	23.3
13314	23.1
13507	23
13704	23
13903	22.7
14105	22.3
14311	22.3
14519	21.9
14730	21.8
14944	22.2
15162	22.2
15382	22.2
15606	21.9
15833	21.9
16063	21.7
16297	21.3
16534	21.3
16774	21.1
17018	21.3
17266	21.3
17517	21.4
17772	21.4
18030	21.5
18293	21.5
