; Sample Rate 44100
; Channels 2
               0  -0.0032653808594 -0.0032653808594 
   2.2675737e-05   0.055694580078  0.055694580078 
   4.5351474e-05    0.19644165039   0.19644165039 
   6.8027211e-05    0.23138427734   0.23138427734 
   9.0702948e-05    0.21731567383   0.21731567383 
   0.00011337868    0.19442749023   0.19442749023 
   0.00013605442    0.17282104492   0.17282104492 
   0.00015873016    0.15924072266   0.15924072266 
    0.0001814059    0.14804077148   0.14804077148 
   0.00020408163    0.14337158203   0.14337158203 
   0.00022675737    0.13803100586   0.13803100586 
   0.00024943311     0.1374206543    0.1374206543 
   0.00027210884    0.13436889648   0.13436889648 
   0.00029478458    0.13537597656   0.13537597656 
   0.00031746032    0.13296508789   0.13296508789 
   0.00034013605      0.134765625     0.134765625 
   0.00036281179    0.13201904297   0.13201904297 
   0.00038548753    0.13519287109   0.13519287109 
   0.00040816327    0.12933349609   0.12933349609 
     0.000430839    0.14260864258   0.14260864258 
   0.00045351474  -0.016540527344 -0.016540527344 
   0.00047619048   -0.47589111328  -0.47589111328 
   0.00049886621   -0.64315795898  -0.64315795898 
   0.00052154195   -0.59732055664  -0.59732055664 
   0.00054421769   -0.52572631836  -0.52572631836 
   0.00056689342   -0.45101928711  -0.45101928711 
   0.00058956916   -0.40328979492  -0.40328979492 
    0.0006122449   -0.36605834961  -0.36605834961 
   0.00063492063   -0.34692382812  -0.34692382812 
   0.00065759637   -0.33145141602  -0.33145141602 
   0.00068027211   -0.32528686523  -0.32528686523 
   0.00070294785   -0.31903076172  -0.31903076172 
   0.00072562358   -0.31744384766  -0.31744384766 
   0.00074829932   -0.31494140625  -0.31494140625 
   0.00077097506     -0.314453125    -0.314453125 
   0.00079365079   -0.31372070312  -0.31372070312 
   0.00081632653   -0.31295776367  -0.31295776367 
   0.00083900227   -0.31350708008  -0.31350708008 
     0.000861678   -0.31158447266  -0.31158447266 
   0.00088435374   -0.31365966797  -0.31365966797 
   0.00090702948   -0.30938720703  -0.30938720703 
   0.00092970522   -0.31350708008  -0.31350708008 
   0.00095238095   -0.30416870117  -0.30416870117 
   0.00097505669   -0.25762939453  -0.25762939453 
   0.00099773243    0.20373535156   0.20373535156 
    0.0010204082    0.46127319336   0.46127319336 
    0.0010430839    0.43276977539   0.43276977539 
    0.0010657596    0.36920166016   0.36920166016 
    0.0010884354    0.28414916992   0.28414916992 
    0.0011111111    0.23614501953   0.23614501953 
    0.0011337868    0.19076538086   0.19076538086 
    0.0011564626     0.1728515625    0.1728515625 
    0.0011791383    0.15225219727   0.15225219727 
    0.0012018141    0.14834594727   0.14834594727 
    0.0012244898    0.13858032227   0.13858032227 
    0.0012471655    0.13949584961   0.13949584961 
    0.0012698413    0.13418579102   0.13418579102 
     0.001292517    0.13613891602   0.13613891602 
    0.0013151927    0.13311767578   0.13311767578 
    0.0013378685     0.1344909668    0.1344909668 
    0.0013605442    0.13339233398   0.13339233398 
      0.00138322        0.1328125       0.1328125 
    0.0014058957    0.13516235352   0.13516235352 
    0.0014285714    0.12777709961   0.12777709961 
    0.0014512472    0.14807128906   0.14807128906 
    0.0014739229  -0.058044433594 -0.058044433594 
    0.0014965986   -0.51153564453  -0.51153564453 
    0.0015192744   -0.63928222656  -0.63928222656 
    0.0015419501   -0.59545898438  -0.59545898438 
    0.0015646259   -0.51446533203  -0.51446533203 
