TimeStamp,gX,gY,gZ,gUserX,gUserY,gUserZ
20-May-2019 08:19:39.41,-0.071915,-0.319214,-0.938995,-0.005923,-0.011631,0.017701
20-May-2019 08:19:39.42,-0.071915,-0.319214,-0.938995,0.023181,-0.015188,0.008910
20-May-2019 08:19:39.43,-0.046570,-0.318253,-0.964584,0.019203,-0.011657,0.008162
20-May-2019 08:19:39.43,-0.040695,-0.307327,-0.957001,0.049170,0.001861,-0.010255
20-May-2019 08:19:39.44,-0.061203,-0.282608,-1.016312,0.047762,0.005150,-0.011203
20-May-2019 08:19:39.45,-0.093933,-0.289398,-1.027573,0.025720,0.029955,-0.070400
20-May-2019 08:19:39.46,-0.069366,-0.307373,-0.996170,-0.006637,0.028956,-0.083629
20-May-2019 08:19:39.47,-0.061478,-0.305832,-1.002411,0.017321,0.024405,-0.056804
20-May-2019 08:19:39.48,-0.053009,-0.304138,-0.956192,0.024583,0.030975,-0.064778
20-May-2019 08:19:39.49,-0.053558,-0.321945,-0.901901,0.031069,0.041909,-0.021750
20-May-2019 08:19:39.50,-0.052704,-0.344803,-0.865265,0.025037,0.034842,0.028972
20-May-2019 08:19:39.51,-0.031738,-0.374100,-0.846878,0.023391,0.014290,0.064930
20-May-2019 08:19:39.52,-0.026917,-0.405273,-0.829910,0.038561,-0.012470,0.082790
20-May-2019 08:19:39.53,-0.033234,-0.423264,-0.818283,0.040160,-0.043287,0.099857
20-May-2019 08:19:39.54,-0.026871,-0.416122,-0.825073,0.027336,-0.062429,0.112378
20-May-2019 08:19:39.55,-0.024002,-0.386368,-0.830872,0.025028,-0.060567,0.108140
20-May-2019 08:19:39.56,-0.033340,-0.361343,-0.844666,0.021676,-0.039102,0.105782
20-May-2019 08:19:39.57,-0.057220,-0.346878,-0.846664,0.010714,-0.017155,0.093201
20-May-2019 08:19:39.58,-0.068878,-0.336624,-0.836472,-0.015794,-0.009841,0.093915
20-May-2019 08:19:39.59,-0.082840,-0.322266,-0.889999,-0.030910,-0.012458,0.108767
20-May-2019 08:19:39.60,-0.110229,-0.302002,-0.987946,-0.045764,-0.002703,0.056840
20-May-2019 08:19:39.61,-0.127701,-0.283447,-1.025421,-0.073700,0.009414,-0.038374
20-May-2019 08:19:39.62,-0.116699,-0.279388,-0.986664,-0.089199,0.023340,-0.074422
20-May-2019 08:19:39.63,-0.086441,-0.295517,-0.971069,-0.073852,0.026810,-0.035661
20-May-2019 08:19:39.64,-0.051666,-0.326096,-0.963364,-0.041145,0.015398,-0.021711
20-May-2019 08:19:39.65,-0.033173,-0.340012,-0.941223,0.000843,-0.005219,-0.017699
20-May-2019 08:19:39.66,-0.037048,-0.347260,-0.939423,0.022676,-0.015574,0.003034
20-May-2019 08:19:39.67,-0.033813,-0.352631,-0.946060,0.026117,-0.015414,0.001794
20-May-2019 08:19:39.68,-0.068924,-0.348373,-0.939774,0.033376,-0.017555,-0.006268
20-May-2019 08:19:39.69,-0.103287,-0.350174,-0.906906,0.008417,-0.007001,-0.003033
20-May-2019 08:19:39.69,-0.103928,-0.351028,-0.919846,-0.023431,-0.008514,0.029519
20-May-2019 08:19:39.70,-0.085434,-0.352020,-0.945404,-0.023047,-0.009557,0.016560
20-May-2019 08:19:39.72,-0.063278,-0.355713,-0.954544,-0.008763,-0.014337,-0.007272
20-May-2019 08:19:39.73,-0.041229,-0.363693,-0.990479,-0.003288,-0.028258,-0.011584
20-May-2019 08:19:39.74,-0.027664,-0.367249,-0.987213,0.009800,-0.040492,-0.045525
20-May-2019 08:19:39.75,-0.021118,-0.339340,-0.975937,0.025631,-0.017624,-0.030256
20-May-2019 08:19:39.76,-0.010910,-0.300003,-0.987106,0.017631,-0.019172,-0.029369
20-May-2019 08:19:39.77,-0.004028,-0.279938,-0.984329,0.018147,0.020999,-0.040474
20-May-2019 08:19:39.78,0.005569,-0.278381,-0.965714,0.031788,0.042964,-0.019114
20-May-2019 08:19:39.78,0.011810,-0.282394,-0.941956,0.027750,0.045839,-0.019992
20-May-2019 08:19:39.79,0.017044,-0.284241,-0.926514,0.032269,0.043451,0.003246
20-May-2019 08:19:39.80,0.017975,-0.296356,-0.932648,0.034149,0.044690,0.017686
20-May-2019 08:19:39.82,0.009323,-0.322205,-0.956528,0.029841,0.036319,0.010319
20-May-2019 08:19:39.83,0.011505,-0.338547,-0.946869,0.016412,0.014498,-0.014943
20-May-2019 08:19:39.83,0.010986,-0.341278,-0.924561,0.016412,0.014498,-0.014943
20-May-2019 08:19:39.84,0.012451,-0.346603,-0.896683,0.016180,0.002861,0.014344
20-May-2019 08:19:39.85,0.011276,-0.342041,-0.900558,0.017224,0.006104,0.039039
20-May-2019 08:19:39.86,-0.002396,-0.333344,-0.951981,0.017224,0.006104,0.039039
20-May-2019 08:19:39.87,-0.015823,-0.343430,-0.947266,0.002797,0.022316,-0.017379
20-May-2019 08:19:39.88,-0.009842,-0.350143,-0.934845,-0.007485,0.021625,-0.016317
20-May-2019 08:19:39.89,0.006668,-0.354218,-0.904144,-0.000380,0.022002,-0.006719
20-May-2019 08:19:39.91,0.023361,-0.351471,-0.878769,0.014484,0.026451,0.020534
20-May-2019 08:19:39.92,0.004684,-0.371140,-0.860245,0.024698,0.032635,0.044519
20-May-2019 08:19:39.92,0.008194,-0.420349,-0.854355,0.024698,0.032635,0.044519
20-May-2019 08:19:39.93,-0.005447,-0.430649,-0.853561,0.006176,-0.035717,0.068713
20-May-2019 08:19:39.94,0.027176,-0.421402,-0.858185,-0.020321,-0.050013,0.071044
20-May-2019 08:19:39.95,0.064560,-0.404785,-0.889053,0.002549,-0.045386,0.068101
20-May-2019 08:19:39.96,0.068130,-0.397354,-0.877075,0.035453,-0.031275,0.038116
20-May-2019 08:19:39.97,0.061966,-0.396484,-0.860306,0.029657,-0.030456,0.052390
20-May-2019 08:19:39.98,0.044250,-0.383057,-0.877426,0.020794,-0.032849,0.070325
20-May-2019 08:19:39.99,0.030884,-0.356171,-0.883438,0.002736,-0.020745,0.053706
20-May-2019 08:19:40.00,0.026276,-0.331818,-0.891266,-0.008410,0.003628,0.048764
