RTA	AudioTools 	v10.18.2 SH Acoustics' iPad (2) battery  55%	10/10/18, 6:22 PM	Internal Mic 1 Low Range	582952DC-A40E-4911-A0B8-6E042B84FC1D
Frequency	dB
25	29.8
32	30.2
40	34.7
50	39.6
63	49.8
80	56.3
100	59.2
125	63
160	63.6
200	63.9
250	55.1
315	47.7
400	37.9
500	47.8
630	55.7
800	56.1
1000	57.5
1250	54
1600	56.3
2000	50
2500	52.2
3150	49.5
4000	49.7
5000	48.8
6300	47.8
8000	47.5
10000	44.9
12500	38.4
16000	27.5
20000	14.4
overall dB	65.6 dBA
decay	Average
weighting	Flat
octave mode	1/3 Octave
source	Internal Mic 1 Low Range
latitude	0
longitude	0
saved	10/10/18, 6:22 PM
