RTA	AudioTools 	v10.18.2 SH Acoustics' iPad (2) battery  62%	10/10/18, 6:02 PM	iAI2 Mic 1 Low Range	582952DC-A40E-4911-A0B8-6E042B84FC1D
Frequency	dB
25	51.7
32	51
40	51.6
50	51.5
63	57.1
80	67.4
100	71.7
125	66.8
160	67.1
200	60.7
250	56.5
315	60.2
400	61
500	59
630	63.7
800	64.4
1000	69.9
1250	65.8
1600	60.2
2000	60.9
2500	58
3150	59.3
4000	55.5
5000	53.9
6300	51.7
8000	50.5
10000	43.5
12500	38.2
16000	33.6
20000	34.6
overall dB	74.4 dBA
decay	Average
weighting	Flat
octave mode	1/3 Octave
source	iAI2 Mic 1 Low Range
latitude	0
longitude	0
saved	10/10/18, 6:02 PM
