RTA	AudioTools 	v10.18.2 SH Acoustics' iPad (2) battery  57%	10/10/18, 6:18 PM	Internal Mic 1 Low Range	582952DC-A40E-4911-A0B8-6E042B84FC1D
Frequency	dB
25	38.3
32	40.9
40	45
50	44.7
63	52.6
80	59.3
100	65.2
125	67.2
160	66
200	68.3
250	64.5
315	60.5
400	51.3
500	47.3
630	54.1
800	51.6
1000	60.9
1250	61.8
1600	62.9
2000	62.2
2500	62.1
3150	61.6
4000	55.6
5000	59.2
6300	61.6
8000	58.9
10000	59
12500	54.3
16000	46.9
20000	34.2
overall dB	72.8 dBA
decay	Average
weighting	Flat
octave mode	1/3 Octave
source	Internal Mic 1 Low Range
latitude	0
longitude	0
saved	10/10/18, 6:18 PM
