RTA	AudioTools 	v10.18.2 SH Acoustics' iPad (2) battery  48%	10/10/18, 6:45 PM	Internal Mic 1 Low Range	582952DC-A40E-4911-A0B8-6E042B84FC1D
Frequency	dB
25	31.2
32	33.6
40	38.4
50	49.7
63	58.2
80	68.3
100	73.3
125	73
160	76.2
200	74.5
250	72.7
315	73.7
400	66.9
500	54.1
630	66.9
800	75
1000	77.8
1250	73.1
1600	69.2
2000	71.3
2500	72.3
3150	71.9
4000	70.9
5000	72.3
6300	72.6
8000	74.3
10000	74.8
12500	71.6
16000	65.7
20000	55.7
overall dB	85.1 dBA
decay	Average
weighting	Flat
octave mode	1/3 Octave
source	Internal Mic 1 Low Range
latitude	0
longitude	0
saved	10/10/18, 6:45 PM
