RTA	AudioTools 	v10.18.2 SH Acoustics' iPad (2) battery  51%	10/10/18, 6:36 PM	Internal Mic 1 Low Range	582952DC-A40E-4911-A0B8-6E042B84FC1D
Frequency	dB
25	34.6
32	37.5
40	43.1
50	44.3
63	51.9
80	67.1
100	70.9
125	66.9
160	70.8
200	70.2
250	68.5
315	65.7
400	61.3
500	60.1
630	55.2
800	55.6
1000	62
1250	63.8
1600	62.9
2000	55.3
2500	58.8
3150	60
4000	55.9
5000	59.8
6300	58
8000	61.9
10000	59.6
12500	55.4
16000	51.2
20000	38.2
overall dB	74.6 dBA
decay	Average
weighting	Flat
octave mode	1/3 Octave
source	Internal Mic 1 Low Range
latitude	0
longitude	0
saved	10/10/18, 6:36 PM
