RTA	AudioTools 	v10.18.2 SH Acoustics' iPad (2) battery  68%	10/10/18, 5:44 PM	iAI2 Mic 1 Low Range	582952DC-A40E-4911-A0B8-6E042B84FC1D
Frequency	dB
25	49.5
32	50.2
40	50.5
50	48.5
63	50.6
80	56.2
100	58.4
125	59.8
160	56.6
200	53
250	44.4
315	42.8
400	45.4
500	48.6
630	50.9
800	53.5
1000	48.4
1250	46.8
1600	49.4
2000	46.4
2500	46.5
3150	46.3
4000	43.4
5000	44.4
6300	40.1
8000	37.2
10000	30.2
12500	24.3
16000	25.4
20000	28.9
overall dB	59.8 dBA
decay	Average
weighting	Flat
octave mode	1/3 Octave
source	iAI2 Mic 1 Low Range
latitude	0
longitude	0
saved	10/10/18, 5:44 PM
